------------ Init ------------
Log file: outputs/phi/Ball/second_phase/log.txt
Args:  Namespace(activate_type=2, action_type='Ball', alpha=1.0, batch=32, beta=0.01, clip_num=68, ckpt='outputs/phi/Ribbon/first_phase/best.pkl', dataset='FS1000', decay_rate=0.01, dropout=0.3, epoch=200, exp_name='second_phase', flow_hidden_dim=256, gpus=[0], hidden_dim=256, in_dim=1024, loss_align=1, lr=0.01, lr_decay='cos', margin=1.0, momentum=0.9, multmoding=False, n_decoder=2, n_encoder=1, n_head=1, n_query=4, optim='sgd', score_type='Total_Score', seed=0, model_name='phi', test=False, test_label_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/test.txt', train_label_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/train.txt', video_path='/home/contlrn/zkl/Data/AQA/GDLT_data/VST/RG/swintx_avg_fps25_clip32', warmup=0, weight_decay=0.0001)
 Random seed: 0
Using device: cuda
-------- Loading data --------
Train data size: 200
 Test data size: 50
------- Loading model --------
PHI...
Load pretrained model from  outputs/phi/Ribbon/first_phase/best.pkl
---------- Training ----------
**** Best model saved, coef: 0.510, rl2: 12.436
Epoch: 120	Loss: 0.2183	Train Coef: 0.958	Test Loss: 0.0154	Test Coef: 0.823	L2: 0.015	RL2: 2.576
Epoch: 121	Loss: 0.2184	Train Coef: 0.959	Test Loss: 0.0156	Test Coef: 0.824	L2: 0.016	RL2: 2.600
Epoch: 122	Loss: 0.2195	Train Coef: 0.955	Test Loss: 0.0159	Test Coef: 0.810	L2: 0.016	RL2: 2.657
Epoch: 123	Loss: 0.2197	Train Coef: 0.953	Test Loss: 0.0155	Test Coef: 0.810	L2: 0.016	RL2: 2.595
Epoch: 124	Loss: 0.2214	Train Coef: 0.943	Test Loss: 0.0149	Test Coef: 0.821	L2: 0.015	RL2: 2.482
Epoch: 125	Loss: 0.2156	Train Coef: 0.962	Test Loss: 0.0166	Test Coef: 0.823	L2: 0.017	RL2: 2.776
Epoch: 126	Loss: 0.2210	Train Coef: 0.964	Test Loss: 0.0161	Test Coef: 0.813	L2: 0.016	RL2: 2.682
Epoch: 127	Loss: 0.2165	Train Coef: 0.954	Test Loss: 0.0148	Test Coef: 0.837	L2: 0.015	RL2: 2.468
Epoch: 128	Loss: 0.2211	Train Coef: 0.946	Test Loss: 0.0171	Test Coef: 0.811	L2: 0.017	RL2: 2.853
Epoch: 129	Loss: 0.2214	Train Coef: 0.944	Test Loss: 0.0177	Test Coef: 0.823	L2: 0.018	RL2: 2.948
Epoch: 130	Loss: 0.2190	Train Coef: 0.961	Test Loss: 0.0158	Test Coef: 0.815	L2: 0.016	RL2: 2.632
Epoch: 131	Loss: 0.2195	Train Coef: 0.966	Test Loss: 0.0157	Test Coef: 0.822	L2: 0.016	RL2: 2.627
Epoch: 132	Loss: 0.2181	Train Coef: 0.952	Test Loss: 0.0162	Test Coef: 0.817	L2: 0.016	RL2: 2.711
Epoch: 133	Loss: 0.2191	Train Coef: 0.950	Test Loss: 0.0158	Test Coef: 0.816	L2: 0.016	RL2: 2.637
Epoch: 134	Loss: 0.2181	Train Coef: 0.963	Test Loss: 0.0172	Test Coef: 0.817	L2: 0.017	RL2: 2.865
Epoch: 135	Loss: 0.2185	Train Coef: 0.959	Test Loss: 0.0164	Test Coef: 0.811	L2: 0.016	RL2: 2.735
Epoch: 136	Loss: 0.2203	Train Coef: 0.945	Test Loss: 0.0175	Test Coef: 0.809	L2: 0.018	RL2: 2.924
Epoch: 137	Loss: 0.2184	Train Coef: 0.958	Test Loss: 0.0142	Test Coef: 0.823	L2: 0.014	RL2: 2.377
